Accuracy = 87.3333% (262/300) (classification);
Chave do vetor;Classe Predita;Classe correta;
b021_90_120.wav;beach;beach;
b021_0_30.wav;beach;beach;
b019_150_180.wav;beach;beach;
b020_90_120.wav;beach;beach;
b020_180_210.wav;beach;beach;
a104_90_120.wav;bus;bus;
a140_120_150.wav;bus;bus;
a140_30_60.wav;bus;bus;
a140_0_30.wav;bus;bus;
a054_120_150.wav;bus;bus;
a052_60_90.wav;cafe/restaurant;cafe/restaurant;
a053_150_180.wav;metro_station;cafe/restaurant;
a106_240_270.wav;cafe/restaurant;cafe/restaurant;
a106_270_300.wav;cafe/restaurant;cafe/restaurant;
b097_180_210.wav;car;car;
b097_120_150.wav;car;car;
a094_60_90.wav;car;car;
a062_120_150.wav;car;car;
a062_150_180.wav;car;car;
a129_60_90.wav;city_center;city_center;
b091_122_152.wav;city_center;city_center;
b091_152_182.wav;metro_station;city_center;
b095_150_180.wav;city_center;city_center;
a066_90_120.wav;forest_path;forest_path;
a097_210_240.wav;forest_path;forest_path;
a097_150_180.wav;home;forest_path;
a097_120_150.wav;home;forest_path;
a039_30_60.wav;forest_path;forest_path;
a110_90_120.wav;grocery_store;grocery_store;
a110_150_180.wav;grocery_store;grocery_store;
a051_60_90.wav;grocery_store;grocery_store;
a051_0_30.wav;grocery_store;grocery_store;
b084_150_180.wav;grocery_store;grocery_store;
a036_90_120.wav;home;home;
b044_60_90.wav;home;home;
b044_30_60.wav;home;home;
a030_30_60.wav;train;home;
b037_210_240.wav;library;library;
b037_120_150.wav;library;library;
b048_180_210.wav;library;library;
b041_0_30.wav;library;library;
b041_210_240.wav;library;library;
b069_240_270.wav;metro_station;metro_station;
b068_210_240.wav;metro_station;metro_station;
a089_240_270.wav;metro_station;metro_station;
a089_60_90.wav;city_center;metro_station;
b054_90_120.wav;office;office;
b054_210_240.wav;office;office;
a122_150_180.wav;office;office;
a122_60_90.wav;office;office;
b052_0_30.wav;office;office;
b052_120_150.wav;office;office;
a020_90_120.wav;forest_path;park;
b016_120_150.wav;park;park;
b016_60_90.wav;park;park;
b023_30_60.wav;park;park;
b023_180_210.wav;park;park;
a003_60_90.wav;residential_area;residential_area;
a003_30_60.wav;residential_area;residential_area;
a010_0_30.wav;residential_area;residential_area;
a012_30_60.wav;residential_area;residential_area;
a012_90_120.wav;residential_area;residential_area;
b062_90_120.wav;train;train;
b059_60_90.wav;train;train;
a144_60_90.wav;train;train;
a144_210_240.wav;train;train;
a153_60_90.wav;tram;tram;
b080_180_210.wav;tram;tram;
b080_120_150.wav;tram;tram;
a149_90_120.wav;grocery_store;tram;
a014_60_90.wav;beach;beach;
a014_0_30.wav;beach;beach;
b012_180_210.wav;beach;beach;
a026_30_60.wav;beach;beach;
a026_150_180.wav;beach;beach;
a071_30_60.wav;bus;bus;
b111_163_193.wav;bus;bus;
b111_43_73.wav;bus;bus;
a045_60_90.wav;bus;bus;
a045_150_180.wav;bus;bus;
a126_120_150.wav;cafe/restaurant;cafe/restaurant;
a126_90_120.wav;cafe/restaurant;cafe/restaurant;
a107_60_90.wav;cafe/restaurant;cafe/restaurant;
a107_180_210.wav;cafe/restaurant;cafe/restaurant;
b056_90_120.wav;cafe/restaurant;cafe/restaurant;
b056_120_150.wav;cafe/restaurant;cafe/restaurant;
b088_90_120.wav;car;car;
b055_137_167.wav;car;car;
b055_30_60.wav;car;car;
b089_120_150.wav;car;car;
b089_180_210.wav;car;car;
b092_180_210.wav;metro_station;city_center;
b092_90_120.wav;city_center;city_center;
b100_120_150.wav;city_center;city_center;
b100_30_60.wav;city_center;city_center;
a005_0_30.wav;city_center;city_center;
a068_150_180.wav;forest_path;forest_path;
a043_90_120.wav;forest_path;forest_path;
a043_30_60.wav;forest_path;forest_path;
a058_120_150.wav;forest_path;forest_path;
a050_0_30.wav;grocery_store;grocery_store;
a050_30_60.wav;grocery_store;grocery_store;
b086_150_180.wav;grocery_store;grocery_store;
b086_120_150.wav;grocery_store;grocery_store;
a116_78_108.wav;grocery_store;grocery_store;
a034_150_180.wav;home;home;
a034_120_150.wav;home;home;
a038_0_30.wav;home;home;
b029_120_150.wav;home;home;
b029_0_30.wav;home;home;
b035_30_60.wav;library;library;
b035_120_150.wav;library;library;
b042_60_90.wav;library;library;
b049_120_150.wav;library;library;
b049_30_60.wav;library;library;
b072_120_150.wav;metro_station;metro_station;
b072_270_300.wav;metro_station;metro_station;
b072_240_270.wav;metro_station;metro_station;
a157_60_90.wav;library;metro_station;
b073_30_60.wav;metro_station;metro_station;
b073_120_150.wav;metro_station;metro_station;
a121_180_210.wav;office;office;
a121_0_30.wav;office;office;
b053_60_90.wav;office;office;
b053_90_120.wav;office;office;
b015_90_120.wav;park;park;
a019_120_150.wav;city_center;park;
a019_180_210.wav;park;park;
b018_90_120.wav;residential_area;park;
b018_120_150.wav;office;park;
b009_120_150.wav;residential_area;residential_area;
b009_30_60.wav;residential_area;residential_area;
b005_90_120.wav;residential_area;residential_area;
b007_0_30.wav;residential_area;residential_area;
b007_180_210.wav;residential_area;residential_area;
a075_60_90.wav;train;train;
a075_120_150.wav;train;train;
a092_270_300.wav;train;train;
a092_150_180.wav;train;train;
b064_90_120.wav;cafe/restaurant;train;
b064_0_30.wav;train;train;
a151_180_210.wav;tram;tram;
a151_150_180.wav;tram;tram;
a079_60_90.wav;tram;tram;
a079_150_180.wav;tram;tram;
b079_30_60.wav;tram;tram;
b079_90_120.wav;tram;tram;
a016_180_210.wav;beach;beach;
a016_30_60.wav;beach;beach;
a006_60_90.wav;beach;beach;
a023_180_210.wav;beach;beach;
a023_120_150.wav;beach;beach;
b112_60_90.wav;bus;bus;
b109_90_120.wav;bus;bus;
b109_180_210.wav;bus;bus;
b109_150_180.wav;bus;bus;
b108_30_60.wav;bus;bus;
a130_180_210.wav;cafe/restaurant;cafe/restaurant;
a130_30_60.wav;cafe/restaurant;cafe/restaurant;
a109_90_120.wav;cafe/restaurant;cafe/restaurant;
a082_30_60.wav;cafe/restaurant;cafe/restaurant;
a082_120_150.wav;cafe/restaurant;cafe/restaurant;
a101_180_210.wav;car;car;
a137_0_30.wav;car;car;
a137_180_210.wav;car;car;
b045_180_210.wav;metro_station;car;
b045_60_90.wav;car;car;
a128_101_131.wav;city_center;city_center;
a128_191_221.wav;city_center;city_center;
b098_120_150.wav;park;city_center;
b098_210_240.wav;city_center;city_center;
b093_120_150.wav;city_center;city_center;
b093_150_180.wav;city_center;city_center;
a057_150_180.wav;forest_path;forest_path;
a057_0_30.wav;forest_path;forest_path;
a098_90_120.wav;forest_path;forest_path;
a098_180_210.wav;forest_path;forest_path;
a069_30_60.wav;home;forest_path;
a069_0_30.wav;home;forest_path;
a105_90_120.wav;grocery_store;grocery_store;
a105_180_210.wav;cafe/restaurant;grocery_store;
b103_90_120.wav;grocery_store;grocery_store;
b106_0_30.wav;metro_station;grocery_store;
b106_60_90.wav;grocery_store;grocery_store;
b030_0_30.wav;home;home;
b030_150_180.wav;home;home;
b030_60_90.wav;home;home;
b031_30_60.wav;home;home;
b031_150_180.wav;home;home;
b036_0_30.wav;library;library;
b039_120_150.wav;library;library;
b039_180_210.wav;library;library;
b047_90_120.wav;library;library;
b047_120_150.wav;library;library;
a158_30_60.wav;metro_station;metro_station;
b075_150_180.wav;metro_station;metro_station;
a155_150_180.wav;metro_station;metro_station;
a155_60_90.wav;metro_station;metro_station;
a155_90_120.wav;metro_station;metro_station;
b116_240_270.wav;office;office;
b116_0_30.wav;office;office;
b113_210_240.wav;office;office;
b113_240_270.wav;office;office;
b113_180_210.wav;office;office;
a027_180_210.wav;park;park;
a021_90_120.wav;park;park;
a021_0_30.wav;park;park;
a022_150_180.wav;park;park;
a022_90_120.wav;park;park;
b004_30_60.wav;residential_area;residential_area;
a009_120_150.wav;park;residential_area;
a009_30_60.wav;residential_area;residential_area;
b003_120_150.wav;residential_area;residential_area;
b003_180_210.wav;residential_area;residential_area;
b060_30_60.wav;train;train;
b067_90_120.wav;train;train;
a074_150_180.wav;train;train;
a074_30_60.wav;train;train;
a074_180_210.wav;train;train;
a154_30_60.wav;tram;tram;
a154_150_180.wav;tram;tram;
b078_90_120.wav;tram;tram;
a152_30_60.wav;tram;tram;
a152_90_120.wav;metro_station;tram;
