Accuracy = 85.7143% (24/28) (classification);
Chave do vetor;beach;cafe/restaurant;car;city_center;forest_path;grocery_store;home;library;metro_station;office;park;residential_area;train;tram;Classe Predita;Classe correta;
a031_90_120.wav;0.0315888;0.222875;0.0152561;0.0151515;0.0322257;0.0653696;0.222111;0.0917157;0.0773356;0.0365743;0.0191913;0.0319593;0.103018;0.0356273;cafe/restaurant;home;
a031_150_180.wav;0.03007;0.118005;0.0140894;0.0123947;0.023613;0.0639196;0.386874;0.0662979;0.0542986;0.0511409;0.0151064;0.0283639;0.0957559;0.0400707;home;home;
b034_150_180.wav;0.0137679;0.0277188;0.0117603;0.0481271;0.0746271;0.0905146;0.031589;0.342567;0.10477;0.013008;0.0559462;0.0481241;0.123999;0.0134819;library;library;
b034_210_240.wav;0.0174871;0.0239587;0.01186;0.0546901;0.0638592;0.148321;0.044153;0.250024;0.112095;0.0163278;0.0499297;0.0757478;0.1133;0.018246;library;library;
b071_150_180.wav;0.03531;0.0386365;0.0189441;0.0197423;0.0352995;0.101393;0.0864621;0.0658701;0.270172;0.0541107;0.033518;0.0788681;0.068642;0.0930315;metro_station;metro_station;
b071_60_90.wav;0.010568;0.0235208;0.0229301;0.0239169;0.150718;0.0421756;0.0184106;0.0903657;0.101798;0.0262028;0.19145;0.0735521;0.208053;0.0163386;train;metro_station;
a099_60_90.wav;0.0134743;0.0129762;0.0628532;0.0154751;0.082209;0.0156934;0.0255572;0.024736;0.0390282;0.361492;0.0750608;0.165753;0.0606755;0.0450161;office;office;
a099_150_180.wav;0.0187077;0.0151634;0.0355651;0.0156669;0.0569924;0.026572;0.0727436;0.0282335;0.0394953;0.406758;0.0546605;0.0864864;0.0576698;0.0852854;office;office;
a018_0_30.wav;0.0235295;0.0097322;0.0164121;0.0424874;0.286281;0.0105383;0.0156893;0.0269763;0.0276976;0.0219286;0.303211;0.137033;0.0626185;0.0158648;park;park;
a018_180_210.wav;0.0173657;0.0115904;0.0210142;0.0386837;0.211939;0.0138517;0.0162656;0.0328101;0.0687755;0.0274335;0.251464;0.192646;0.0733132;0.0228475;park;park;
b008_0_30.wav;0.0180586;0.0108982;0.0470716;0.0161779;0.110891;0.0128337;0.024507;0.0214154;0.0292268;0.303484;0.105824;0.204949;0.0533088;0.0413537;office;residential_area;
b008_180_210.wav;0.0151909;0.0151041;0.043015;0.0182215;0.179779;0.0132277;0.0188485;0.0251713;0.0524032;0.103094;0.165635;0.259251;0.0624406;0.0286187;residential_area;residential_area;
b065_84_114.wav;0.00816098;0.0157831;0.0156897;0.0286035;0.0215497;0.181164;0.0436815;0.0480444;0.0333024;0.0203465;0.0221966;0.0410948;0.471339;0.0490436;train;train;
b065_174_204.wav;0.0155429;0.0115496;0.0209569;0.0443122;0.0223619;0.130772;0.0657239;0.0249416;0.0278878;0.0356365;0.0203824;0.0625551;0.285088;0.232289;train;train;
a148_60_90.wav;0.0349186;0.0278697;0.0177661;0.0315707;0.0321825;0.0520986;0.0582341;0.0366818;0.222117;0.0428695;0.0263249;0.0799807;0.0628091;0.274577;tram;tram;
a148_180_210.wav;0.0595404;0.0163848;0.0123056;0.0507296;0.0269717;0.0377217;0.0491254;0.0283147;0.0943584;0.0232604;0.0217733;0.0727302;0.0388423;0.467941;tram;tram;
